ensembl_gene_id	entrezgene_id	external_gene_name	chromosome_name	description	gene_biotype
Msc	ENSMUSG00000025930	17681	Msc	1	musculin	protein_coding
Trpa1	ENSMUSG00000032769	277328	Trpa1	1	transient receptor potential cation channel, subfamily A, member 1	protein_coding
Kcnb2	ENSMUSG00000092083	98741	Kcnb2	1	potassium voltage gated channel, Shab-related subfamily, member 2	protein_coding
Terf1	ENSMUSG00000025925	21749	Terf1	1	telomeric repeat binding factor 1	protein_coding
Sbspon	ENSMUSG00000032719	226866	Sbspon	1	somatomedin B and thrombospondin, type 1 domain containing	protein_coding
4930444P10Rik	ENSMUSG00000067795	75799	4930444P10Rik	1	RIKEN cDNA 4930444P10 gene	protein_coding
Rpl7	ENSMUSG00000043716	19989	Rpl7	1	ribosomal protein L7	protein_coding
Rdh10	ENSMUSG00000025921	98711	Rdh10	1	retinol dehydrogenase 10 (all-trans)	protein_coding
Stau2	ENSMUSG00000025920	29819	Stau2	1	staufen double-stranded RNA binding protein 2	protein_coding
Ube2w	ENSMUSG00000025939	66799	Ube2w	1	ubiquitin-conjugating enzyme E2W (putative)	protein_coding
Eloc	ENSMUSG00000079658	67923	Eloc	1	elongin C	protein_coding
D030040B21Rik	ENSMUSG00000097744	NA	D030040B21Rik	1	RIKEN cDNA D030040B21 gene	lncRNA
Tmem70	ENSMUSG00000025940	70397	Tmem70	1	transmembrane protein 70	protein_coding
Ly96	ENSMUSG00000025779	17087	Ly96	1	lymphocyte antigen 96	protein_coding
Jph1	ENSMUSG00000042686	57339	Jph1	1	junctophilin 1	protein_coding
Gdap1	ENSMUSG00000025777	14545	Gdap1	1	ganglioside-induced differentiation-associated-protein 1	protein_coding
Pi15	ENSMUSG00000067780	94227	Pi15	1	peptidase inhibitor 15	protein_coding
Gm28154	ENSMUSG00000100053	NA	Gm28154	1	predicted gene 28154	lncRNA
Gm16070	ENSMUSG00000085125	NA	Gm16070	1	predicted gene 16070	lncRNA
Crispld1	ENSMUSG00000025776	83691	Crispld1	1	cysteine-rich secretory protein LCCL domain containing 1	protein_coding
Tfap2b	ENSMUSG00000025927	21419	Tfap2b	1	transcription factor AP-2 beta	protein_coding
Pkhd1	ENSMUSG00000043760	241035	Pkhd1	1	polycystic kidney and hepatic disease 1	protein_coding
Mcm3	ENSMUSG00000041859	17215	Mcm3	1	minichromosome maintenance complex component 3	protein_coding
6720483E21Rik	ENSMUSG00000097934	NA	6720483E21Rik	1	RIKEN cDNA 6720483E21 gene	lncRNA
Paqr8	ENSMUSG00000025931	74229	Paqr8	1	progestin and adipoQ receptor family member VIII	protein_coding
Efhc1	ENSMUSG00000041809	71877	Efhc1	1	EF-hand domain (C-terminal) containing 1	protein_coding
Tram2	ENSMUSG00000041779	170829	Tram2	1	translocating chain-associating membrane protein 2	protein_coding
Tmem14a	ENSMUSG00000025933	75712	Tmem14a	1	transmembrane protein 14A	protein_coding
Gsta3	ENSMUSG00000025934	14859	Gsta3	1	glutathione S-transferase, alpha 3	protein_coding
Gm28836	ENSMUSG00000099343	NA	Gm28836	1	predicted gene 28836	lncRNA
Kcnq5	ENSMUSG00000028033	226922	Kcnq5	1	potassium voltage-gated channel, subfamily Q, member 5	protein_coding
Rims1	ENSMUSG00000041670	116837	Rims1	1	regulating synaptic membrane exocytosis 1	protein_coding
Gm29107	ENSMUSG00000100775	NA	Gm29107	1	predicted gene 29107	lncRNA
Ogfrl1	ENSMUSG00000026158	70155	Ogfrl1	1	opioid growth factor receptor-like 1	protein_coding
B3gat2	ENSMUSG00000026156	280645	B3gat2	1	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	protein_coding
Smap1	ENSMUSG00000026155	98366	Smap1	1	small ArfGAP 1	protein_coding
Sdhaf4	ENSMUSG00000026154	68002	Sdhaf4	1	succinate dehydrogenase complex assembly factor 4	protein_coding
Fam135a	ENSMUSG00000026153	68187	Fam135a	1	family with sequence similarity 135, member A	protein_coding
Col9a1	ENSMUSG00000026147	12839	Col9a1	1	collagen, type IX, alpha 1	protein_coding
Col19a1	ENSMUSG00000026141	12823	Col19a1	1	collagen, type XIX, alpha 1	protein_coding
Lmbrd1	ENSMUSG00000073725	68421	Lmbrd1	1	LMBR1 domain containing 1	protein_coding
Adgrb3	ENSMUSG00000033569	210933	Adgrb3	1	adhesion G protein-coupled receptor B3	protein_coding
Phf3	ENSMUSG00000048874	213109	Phf3	1	PHD finger protein 3	protein_coding
Ptp4a1	ENSMUSG00000026064	19243	Ptp4a1	1	protein tyrosine phosphatase 4a1	protein_coding
4931428L18Rik	ENSMUSG00000086727	NA	4931428L18Rik	1	RIKEN cDNA 4931428L18 gene	protein_coding
Khdrbs2	ENSMUSG00000026058	170771	Khdrbs2	1	KH domain containing, RNA binding, signal transduction associated 2	protein_coding
Gm37724	ENSMUSG00000102917	NA	Gm37724	1	predicted gene, 37724	lncRNA
Prim2	ENSMUSG00000026134	19076	Prim2	1	DNA primase, p58 subunit	protein_coding
Rab23	ENSMUSG00000004768	19335	Rab23	1	RAB23, member RAS oncogene family	protein_coding
Bag2	ENSMUSG00000042215	213539	Bag2	1	BCL2-associated athanogene 2	protein_coding
Zfp451	ENSMUSG00000042197	98403	Zfp451	1	zinc finger protein 451	protein_coding
Bend6	ENSMUSG00000042182	320705	Bend6	1	BEN domain containing 6	protein_coding
Dst	ENSMUSG00000026131	13518	Dst	1	dystonin	protein_coding
Gm37233	ENSMUSG00000102336	NA	Gm37233	1	predicted gene, 37233	lncRNA
Ccdc115	ENSMUSG00000042111	69668	Ccdc115	1	coiled-coil domain containing 115	protein_coding
Gm28306	ENSMUSG00000101711	NA	Gm28306	1	predicted gene 28306	lncRNA
Imp4	ENSMUSG00000026127	27993	Imp4	1	IMP4, U3 small nucleolar ribonucleoprotein	protein_coding
Ptpn18	ENSMUSG00000026126	19253	Ptpn18	1	protein tyrosine phosphatase, non-receptor type 18	protein_coding
4930568A12Rik	ENSMUSG00000101223	NA	4930568A12Rik	1	RIKEN cDNA 4930568A12 gene	lncRNA
Amer3	ENSMUSG00000045174	211383	Amer3	1	APC membrane recruitment 3	protein_coding
Arhgef4	ENSMUSG00000037509	226970	Arhgef4	1	Rho guanine nucleotide exchange factor (GEF) 4	protein_coding
Gm38336	ENSMUSG00000104002	NA	Gm38336	1	predicted gene, 38336	lncRNA
Fam168b	ENSMUSG00000037503	214469	Fam168b	1	family with sequence similarity 168, member B	protein_coding
Plekhb2	ENSMUSG00000026123	226971	Plekhb2	1	pleckstrin homology domain containing, family B (evectins) member 2	protein_coding
1110002O04Rik	ENSMUSG00000102531	NA	1110002O04Rik	1	RIKEN cDNA 1110002O04 gene	lncRNA
Hs6st1	ENSMUSG00000045216	50785	Hs6st1	1	heparan sulfate 6-O-sulfotransferase 1	protein_coding
Gm33280	ENSMUSG00000102202	NA	Gm33280	1	predicted gene, 33280	lncRNA
Uggt1	ENSMUSG00000037470	320011	Uggt1	1	UDP-glucose glycoprotein glucosyltransferase 1	protein_coding
Neurl3	ENSMUSG00000047180	214854	Neurl3	1	neuralized E3 ubiquitin protein ligase 3	protein_coding
Arid5a	ENSMUSG00000037447	214855	Arid5a	1	AT rich interactive domain 5A (MRF1-like)	protein_coding
4930403P22Rik	ENSMUSG00000102762	NA	4930403P22Rik	1	RIKEN cDNA 4930403P22 gene	lncRNA
Kansl3	ENSMUSG00000010453	226976	Kansl3	1	KAT8 regulatory NSL complex subunit 3	protein_coding
Lman2l	ENSMUSG00000001143	214895	Lman2l	1	lectin, mannose-binding 2-like	protein_coding
Cnnm4	ENSMUSG00000037408	94220	Cnnm4	1	cyclin M4	protein_coding
Cnnm3	ENSMUSG00000001138	94218	Cnnm3	1	cyclin M3	protein_coding
Ankrd23	ENSMUSG00000067653	78321	Ankrd23	1	ankyrin repeat domain 23	protein_coding
Ankrd39	ENSMUSG00000079610	109346	Ankrd39	1	ankyrin repeat domain 39	protein_coding
Sema4c	ENSMUSG00000026121	20353	Sema4c	1	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	protein_coding
Fam178b	ENSMUSG00000046337	381337	Fam178b	1	family with sequence similarity 178, member B	protein_coding
Cox5b	ENSMUSG00000061518	12859	Cox5b	1	cytochrome c oxidase subunit 5B	protein_coding
Actr1b	ENSMUSG00000037351	226977	Actr1b	1	ARP1 actin-related protein 1B, centractin beta	protein_coding
4933424G06Rik	ENSMUSG00000102416	NA	4933424G06Rik	1	RIKEN cDNA 4933424G06 gene	protein_coding
Tmem131	ENSMUSG00000026116	56030	Tmem131	1	transmembrane protein 131	protein_coding
Vwa3b	ENSMUSG00000050122	70853	Vwa3b	1	von Willebrand factor A domain containing 3B	protein_coding
Inpp4a	ENSMUSG00000026113	269180	Inpp4a	1	inositol polyphosphate-4-phosphatase, type I	protein_coding
Coa5	ENSMUSG00000026112	76178	Coa5	1	cytochrome C oxidase assembly factor 5	protein_coding
Unc50	ENSMUSG00000026111	67387	Unc50	1	unc-50 homolog	protein_coding
Mgat4a	ENSMUSG00000026110	269181	Mgat4a	1	mannoside acetylglucosaminyltransferase 4, isoenzyme A	protein_coding
2010300C02Rik	ENSMUSG00000026090	72097	2010300C02Rik	1	RIKEN cDNA 2010300C02 gene	protein_coding
4930556I23Rik	ENSMUSG00000089767	NA	4930556I23Rik	1	RIKEN cDNA 4930556I23 gene	lncRNA
Tsga10	ENSMUSG00000060771	211484	Tsga10	1	testis specific 10	protein_coding
Lipt1	ENSMUSG00000037216	623661	Lipt1	1	lipoyltransferase 1	protein_coding
Mitd1	ENSMUSG00000026088	69028	Mitd1	1	MIT, microtubule interacting and transport, domain containing 1	protein_coding
Mrpl30	ENSMUSG00000026087	107734	Mrpl30	1	mitochondrial ribosomal protein L30	protein_coding
Txndc9	ENSMUSG00000058407	98258	Txndc9	1	thioredoxin domain containing 9	protein_coding
Eif5b	ENSMUSG00000026083	226982	Eif5b	1	eukaryotic translation initiation factor 5B	protein_coding
Rev1	ENSMUSG00000026082	56210	Rev1	1	REV1, DNA directed polymerase	protein_coding
Aff3	ENSMUSG00000037138	16764	Aff3	1	AF4/FMR2 family, member 3	protein_coding
Gm16152	ENSMUSG00000087131	NA	Gm16152	1	predicted gene 16152	lncRNA
Lonrf2	ENSMUSG00000048814	381338	Lonrf2	1	LON peptidase N-terminal domain and ring finger 2	protein_coding
Chst10	ENSMUSG00000026080	98388	Chst10	1	carbohydrate sulfotransferase 10	protein_coding
Pdcl3	ENSMUSG00000026078	68833	Pdcl3	1	phosducin-like 3	protein_coding
Npas2	ENSMUSG00000026077	18143	Npas2	1	neuronal PAS domain protein 2	protein_coding
Rpl31	ENSMUSG00000073702	114641	Rpl31	1	ribosomal protein L31	protein_coding
Tbc1d8	ENSMUSG00000003134	54610	Tbc1d8	1	TBC1 domain family, member 8	protein_coding
Cnot11	ENSMUSG00000003135	52846	Cnot11	1	CCR4-NOT transcription complex, subunit 11	protein_coding
Rnf149	ENSMUSG00000048234	67702	Rnf149	1	ring finger protein 149	protein_coding
Creg2	ENSMUSG00000050967	263764	Creg2	1	cellular repressor of E1A-stimulated genes 2	protein_coding
Gm3646	ENSMUSG00000091937	100042065	Gm3646	1	predicted gene 3646	protein_coding
1700066B17Rik	ENSMUSG00000101634	NA	1700066B17Rik	1	RIKEN cDNA 1700066B17 gene	lncRNA
Map4k4	ENSMUSG00000026074	26921	Map4k4	1	mitogen-activated protein kinase kinase kinase kinase 4	protein_coding
Il1r2	ENSMUSG00000026073	16178	Il1r2	1	interleukin 1 receptor, type II	protein_coding
Gm16894	ENSMUSG00000097899	NA	Gm16894	1	predicted gene, 16894	lncRNA
Il1r1	ENSMUSG00000026072	16177	Il1r1	1	interleukin 1 receptor, type I	protein_coding
Il1rl2	ENSMUSG00000070942	107527	Il1rl2	1	interleukin 1 receptor-like 2	protein_coding
Il1rl1	ENSMUSG00000026069	17082	Il1rl1	1	interleukin 1 receptor-like 1	protein_coding
Il18r1	ENSMUSG00000026070	16182	Il18r1	1	interleukin 18 receptor 1	protein_coding
Il18rap	ENSMUSG00000026068	16174	Il18rap	1	interleukin 18 receptor accessory protein	protein_coding
Slc9a4	ENSMUSG00000026065	110895	Slc9a4	1	solute carrier family 9 (sodium/hydrogen exchanger), member 4	protein_coding
Slc9a2	ENSMUSG00000026062	226999	Slc9a2	1	solute carrier family 9 (sodium/hydrogen exchanger), member 2	protein_coding
Mfsd9	ENSMUSG00000041945	211798	Mfsd9	1	major facilitator superfamily domain containing 9	protein_coding
Tmem182	ENSMUSG00000079588	381339	Tmem182	1	transmembrane protein 182	protein_coding
Pantr1	ENSMUSG00000060424	NA	Pantr1	1	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1	lncRNA
Pou3f3	ENSMUSG00000045515	18993	Pou3f3	1	POU domain, class 3, transcription factor 3	protein_coding
Mrps9	ENSMUSG00000060679	69527	Mrps9	1	mitochondrial ribosomal protein S9	protein_coding
Gpr45	ENSMUSG00000041907	93690	Gpr45	1	G protein-coupled receptor 45	protein_coding
Tgfbrap1	ENSMUSG00000070939	73122	Tgfbrap1	1	transforming growth factor, beta receptor associated protein 1	protein_coding
8430432A02Rik	ENSMUSG00000041878	NA	8430432A02Rik	1	RIKEN cDNA 8430432A02 gene	lncRNA
AI597479	ENSMUSG00000010290	98404	AI597479	1	expressed sequence AI597479	protein_coding
Fhl2	ENSMUSG00000008136	14200	Fhl2	1	four and a half LIM domains 2	protein_coding
Gm29040	ENSMUSG00000099576	NA	Gm29040	1	predicted gene 29040	lncRNA
Nck2	ENSMUSG00000066877	17974	Nck2	1	non-catalytic region of tyrosine kinase adaptor protein 2	protein_coding
1500015O10Rik	ENSMUSG00000026051	78896	Ecrg4	1	ECRG4 augurin precursor	protein_coding
Gm29156	ENSMUSG00000100480	NA	Gm29156	1	predicted gene 29156	lncRNA
Uxs1	ENSMUSG00000057363	67883	Uxs1	1	UDP-glucuronate decarboxylase 1	protein_coding
Tpp2	ENSMUSG00000041763	22019	Tpp2	1	tripeptidyl peptidase II	protein_coding
Mettl21c	ENSMUSG00000047343	433294	Mettl21c	1	methyltransferase like 21C	protein_coding
Gm8251	ENSMUSG00000091844	NA	Gm8251	1	predicted gene 8251	protein_coding
Tex30	ENSMUSG00000026049	75623	Tex30	1	testis expressed 30	protein_coding
Kdelc1	ENSMUSG00000026047	72050	Poglut2	1	protein O-glucosyltransferase 2	protein_coding
Bivm	ENSMUSG00000041684	246229	Bivm	1	basic, immunoglobulin-like variable motif containing	protein_coding
Ercc5	ENSMUSG00000026048	22592	Ercc5	1	excision repair cross-complementing rodent repair deficiency, complementation group 5	protein_coding
Mettl21e	ENSMUSG00000046828	403183	Mettl21e	1	methyltransferase like 21E	protein_coding
Gulp1	ENSMUSG00000056870	70676	Gulp1	1	GULP, engulfment adaptor PTB domain containing 1	protein_coding
Col3a1	ENSMUSG00000026043	12825	Col3a1	1	collagen, type III, alpha 1	protein_coding
Col5a2	ENSMUSG00000026042	12832	Col5a2	1	collagen, type V, alpha 2	protein_coding
Wdr75	ENSMUSG00000025995	73674	Wdr75	1	WD repeat domain 75	protein_coding
Slc40a1	ENSMUSG00000025993	53945	Slc40a1	1	solute carrier family 40 (iron-regulated transporter), member 1	protein_coding
Dnah7b	ENSMUSG00000041144	227058	Dnah7b	1	dynein, axonemal, heavy chain 7B	protein_coding
Slc39a10	ENSMUSG00000025986	227059	Slc39a10	1	solute carrier family 39 (zinc transporter), member 10	protein_coding
Gm28151	ENSMUSG00000100213	NA	Gm28151	1	predicted gene 28151	lncRNA
4933411E06Rik	ENSMUSG00000099608	NA	4933411E06Rik	1	RIKEN cDNA 4933411E06 gene	lncRNA
Tmeff2	ENSMUSG00000026109	56363	Tmeff2	1	transmembrane protein with EGF-like and two follistatin-like domains 2	protein_coding
Gm29325	ENSMUSG00000099625	NA	Gm29325	1	predicted gene 29325	lncRNA
9330175M20Rik	ENSMUSG00000101799	NA	9330175M20Rik	1	RIKEN cDNA 9330175M20 gene	lncRNA
Cavin2	ENSMUSG00000045954	20324	Cavin2	1	caveolae associated 2	protein_coding
1700072G22Rik	ENSMUSG00000101702	NA	1700072G22Rik	1	RIKEN cDNA 1700072G22 gene	lncRNA
Nabp1	ENSMUSG00000026107	109019	Nabp1	1	nucleic acid binding protein 1	protein_coding
Gm17767	ENSMUSG00000099413	NA	Gm17767	1	predicted gene, 17767	lncRNA
Gm28055	ENSMUSG00000101741	NA	Gm28055	1	predicted gene 28055	lncRNA
Myo1b	ENSMUSG00000018417	17912	Myo1b	1	myosin IB	protein_coding
Stat4	ENSMUSG00000062939	20849	Stat4	1	signal transducer and activator of transcription 4	protein_coding
Gm31812	ENSMUSG00000109599	NA	Gm31812	1	predicted gene, 31812	lncRNA
Stat1	ENSMUSG00000026104	20846	Stat1	1	signal transducer and activator of transcription 1	protein_coding
Gls	ENSMUSG00000026103	14660	Gls	1	glutaminase	protein_coding
Nab1	ENSMUSG00000002881	17936	Nab1	1	Ngfi-A binding protein 1	protein_coding
Nemp2	ENSMUSG00000043015	227094	Nemp2	1	nuclear envelope integral membrane protein 2	protein_coding
Mfsd6	ENSMUSG00000041439	98682	Mfsd6	1	major facilitator superfamily domain containing 6	protein_coding
Inpp1	ENSMUSG00000026102	16329	Inpp1	1	inositol polyphosphate-1-phosphatase	protein_coding
Hibch	ENSMUSG00000041426	227095	Hibch	1	3-hydroxyisobutyryl-Coenzyme A hydrolase	protein_coding
1700019D03Rik	ENSMUSG00000043629	67080	1700019D03Rik	1	RIKEN cDNA 1700019D03 gene	protein_coding
Pms1	ENSMUSG00000026098	227099	Pms1	1	PMS1 homolog 1, mismatch repair system component	protein_coding
Ormdl1	ENSMUSG00000026097	227102	Ormdl1	1	ORM1-like 1 (S. cerevisiae)	protein_coding
Osgepl1	ENSMUSG00000026096	72085	Osgepl1	1	O-sialoglycoprotein endopeptidase-like 1	protein_coding
Gm28551	ENSMUSG00000099913	NA	Gm28551	1	predicted gene 28551	protein_coding
Asnsd1	ENSMUSG00000026095	70396	Asnsd1	1	asparagine synthetase domain containing 1	protein_coding
Dnah7a	ENSMUSG00000096141	627872	Dnah7a	1	dynein, axonemal, heavy chain 7A	protein_coding
Stk17b	ENSMUSG00000026094	98267	Stk17b	1	serine/threonine kinase 17b (apoptosis-inducing)	protein_coding
Hecw2	ENSMUSG00000042807	329152	Hecw2	1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	protein_coding
Ccdc150	ENSMUSG00000025983	78016	Ccdc150	1	coiled-coil domain containing 150	protein_coding
Gtf3c3	ENSMUSG00000041303	98488	Gtf3c3	1	general transcription factor IIIC, polypeptide 3	protein_coding
Pgap1	ENSMUSG00000073678	241062	Pgap1	1	post-GPI attachment to proteins 1	protein_coding
Ankrd44	ENSMUSG00000052331	329154	Ankrd44	1	ankyrin repeat domain 44	protein_coding
Sf3b1	ENSMUSG00000025982	81898	Sf3b1	1	splicing factor 3b, subunit 1	protein_coding
Coq10b	ENSMUSG00000025981	67876	Coq10b	1	coenzyme Q10B	protein_coding
Hspd1	ENSMUSG00000025980	15510	Hspd1	1	heat shock protein 1 (chaperonin)	protein_coding
Hspe1	ENSMUSG00000073676	15528	Hspe1	1	heat shock protein 1 (chaperonin 10)	protein_coding
Mob4	ENSMUSG00000025979	19070	Mob4	1	MOB family member 4, phocein	protein_coding
Rftn2	ENSMUSG00000025978	74013	Rftn2	1	raftlin family member 2	protein_coding
Gm10561	ENSMUSG00000097649	NA	Gm10561	1	predicted gene 10561	lncRNA
Mars2	ENSMUSG00000046994	212679	Mars2	1	methionine-tRNA synthetase 2 (mitochondrial)	protein_coding
Boll	ENSMUSG00000025977	75388	Boll	1	boule homolog, RNA binding protein	protein_coding
Plcl1	ENSMUSG00000038349	227120	Plcl1	1	phospholipase C-like 1	protein_coding
Satb2	ENSMUSG00000038331	212712	Satb2	1	special AT-rich sequence binding protein 2	protein_coding
4930558J18Rik	ENSMUSG00000097519	NA	4930558J18Rik	1	RIKEN cDNA 4930558J18 gene	lncRNA
1700066M21Rik	ENSMUSG00000038323	73467	1700066M21Rik	1	RIKEN cDNA 1700066M21 gene	protein_coding
Tyw5	ENSMUSG00000048495	68736	Tyw5	1	tRNA-yW synthesizing protein 5	protein_coding
Maip1	ENSMUSG00000025971	68115	Maip1	1	matrix AAA peptidase interacting protein 1	protein_coding
Spats2l	ENSMUSG00000038305	67198	Spats2l	1	spermatogenesis associated, serine-rich 2-like	protein_coding
Kctd18	ENSMUSG00000054770	51960	Kctd18	1	potassium channel tetramerisation domain containing 18	protein_coding
Sgo2a	ENSMUSG00000026039	68549	Sgo2a	1	shugoshin 2A	protein_coding
Aox1	ENSMUSG00000063558	11761	Aox1	1	aldehyde oxidase 1	protein_coding
Aox3	ENSMUSG00000064294	71724	Aox3	1	aldehyde oxidase 3	protein_coding
Aox4	ENSMUSG00000038242	71872	Aox4	1	aldehyde oxidase 4	protein_coding
Bzw1	ENSMUSG00000051223	66882	Bzw1	1	basic leucine zipper and W2 domains 1	protein_coding
Clk1	ENSMUSG00000026034	12747	Clk1	1	CDC-like kinase 1	protein_coding
Ppil3	ENSMUSG00000026035	70225	Ppil3	1	peptidylprolyl isomerase (cyclophilin)-like 3	protein_coding
Nif3l1	ENSMUSG00000026036	65102	Nif3l1	1	Ngg1 interacting factor 3-like 1 (S. pombe)	protein_coding
Orc2	ENSMUSG00000026037	18393	Orc2	1	origin recognition complex, subunit 2	protein_coding
Gm15834	ENSMUSG00000085054	NA	Gm15834	1	predicted gene 15834	lncRNA
Fam126b	ENSMUSG00000038174	213056	Fam126b	1	family with sequence similarity 126, member B	protein_coding
Ndufb3	ENSMUSG00000026032	66495	Ndufb3	1	NADH:ubiquinone oxidoreductase subunit B3	protein_coding
Als2cr12	ENSMUSG00000047528	108812	Flacc1	1	flagellum associated containing coiled-coil domains 1	protein_coding
Cflar	ENSMUSG00000026031	12633	Cflar	1	CASP8 and FADD-like apoptosis regulator	protein_coding
Casp8	ENSMUSG00000026029	12370	Casp8	1	caspase 8	protein_coding
Trak2	ENSMUSG00000026028	70827	Trak2	1	trafficking protein, kinesin binding 2	protein_coding
Stradb	ENSMUSG00000026027	227154	Stradb	1	STE20-related kinase adaptor beta	protein_coding
Tmem237	ENSMUSG00000038079	381259	Tmem237	1	transmembrane protein 237	protein_coding
G730003C15Rik	ENSMUSG00000097573	NA	G730003C15Rik	1	RIKEN cDNA G730003C15 gene	lncRNA
Mpp4	ENSMUSG00000079550	227157	Mpp4	1	membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)	protein_coding
Als2	ENSMUSG00000026024	74018	Als2	1	alsin Rho guanine nucleotide exchange factor	protein_coding
Cdk15	ENSMUSG00000026023	271697	Cdk15	1	cyclin-dependent kinase 15	protein_coding
Fzd7	ENSMUSG00000041075	14369	Fzd7	1	frizzled class receptor 7	protein_coding
Gm973	ENSMUSG00000047361	381260	Gm973	1	predicted gene 973	protein_coding
Gm28411	ENSMUSG00000099811	NA	Gm28411	1	predicted gene 28411	lncRNA
Sumo1	ENSMUSG00000026021	22218	Sumo1	1	small ubiquitin-like modifier 1	protein_coding
