ensembl_gene_id	entrezgene_id	external_gene_name	chromosome_name	description	gene_biotype
ENSG00000067606	5590	PRKCZ	1	protein kinase C zeta	protein_coding
ENSG00000162585	199990	FAAP20	1	FA core complex associated protein 20	protein_coding
ENSG00000157933	6497	SKI	1	SKI proto-oncogene	protein_coding
ENSG00000116151	79906	MORN1	1	MORN repeat containing 1	protein_coding
ENSG00000157916	11079	RER1	1	retention in endoplasmic reticulum sorting receptor 1	protein_coding
ENSG00000157911	5192	PEX10	1	peroxisomal biogenesis factor 10	protein_coding
ENSG00000157881	55229	PANK4	1	pantothenate kinase 4	protein_coding
ENSG00000157873	8764	TNFRSF14	1	TNF receptor superfamily member 14	protein_coding
ENSG00000157870	127281	PRXL2B	1	peroxiredoxin like 2B	protein_coding
ENSG00000130762	27237	ARHGEF16	1	Rho guanine nucleotide exchange factor 16	protein_coding
ENSG00000162591	1953	MEGF6	1	multiple EGF like domains 6	protein_coding
ENSG00000158109	127262	TPRG1L	1	tumor protein p63 regulated 1 like	protein_coding
ENSG00000116213	49856	WRAP73	1	WD repeat containing, antisense to TP73	protein_coding
ENSG00000078900	7161	TP73	1	tumor protein p73	protein_coding
ENSG00000130764	57470	LRRC47	1	leucine rich repeat containing 47	protein_coding
ENSG00000116198	9731	CEP104	1	centrosomal protein 104	protein_coding
ENSG00000169598	1677	DFFB	1	DNA fragmentation factor subunit beta	protein_coding
ENSG00000198912	339448	C1orf174	1	chromosome 1 open reading frame 174	protein_coding
ENSG00000131697	261734	NPHP4	1	nephrocystin 4	protein_coding
ENSG00000069424	8514	KCNAB2	1	potassium voltage-gated channel subfamily A regulatory beta subunit 2	protein_coding
ENSG00000116251	6146	RPL22	1	ribosomal protein L22	protein_coding
ENSG00000158286	388591	RNF207	1	ring finger protein 207	protein_coding
ENSG00000116237	23463	ICMT	1	isoprenylcysteine carboxyl methyltransferase	protein_coding
ENSG00000097021	11332	ACOT7	1	acyl-CoA thioesterase 7	protein_coding
ENSG00000069812	54626	HES2	1	hes family bHLH transcription factor 2	protein_coding
ENSG00000215788	8718	TNFRSF25	1	TNF receptor superfamily member 25	protein_coding
ENSG00000171680	57449	PLEKHG5	1	pleckstrin homology and RhoGEF domain containing G5	protein_coding
ENSG00000162408	79707	NOL9	1	nucleolar protein 9	protein_coding
ENSG00000204859	3104	ZBTB48	1	zinc finger and BTB domain containing 48	protein_coding
ENSG00000162413	9903	KLHL21	1	kelch like family member 21	protein_coding
ENSG00000116273	148479	PHF13	1	PHD finger protein 13	protein_coding
ENSG00000041988	90326	THAP3	1	THAP domain containing 3	protein_coding
ENSG00000007923	55735	DNAJC11	1	DnaJ heat shock protein family (Hsp40) member C11	protein_coding
ENSG00000171735	23261	CAMTA1	1	calmodulin binding transcription activator 1	protein_coding
ENSG00000049245	9341	VAMP3	1	vesicle associated membrane protein 3	protein_coding
ENSG00000049246	8863	PER3	1	period circadian regulator 3	protein_coding
ENSG00000116288	11315	PARK7	1	Parkinsonism associated deglycase	protein_coding
ENSG00000116285	54206	ERRFI1	1	ERBB receptor feedback inhibitor 1	protein_coding
ENSG00000162426	50651	SLC45A1	1	solute carrier family 45 member 1	protein_coding
ENSG00000142599	473	RERE	1	arginine-glutamic acid dipeptide repeats	protein_coding
ENSG00000074800	2023	ENO1	1	enolase 1	protein_coding
ENSG00000230679	NA	ENO1-AS1	1	ENO1 antisense RNA 1	lncRNA
ENSG00000234546	102724571	LNCTAM34A	1	long non coding transcriptional activator of miR34a	lncRNA
ENSG00000049239	9563	H6PD	1	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	protein_coding
ENSG00000171621	80176	SPSB1	1	splA/ryanodine receptor domain and SOCS box containing 1	protein_coding
ENSG00000171612	84275	SLC25A33	1	solute carrier family 25 member 33	protein_coding
ENSG00000188807	199953	TMEM201	1	transmembrane protein 201	protein_coding
ENSG00000171608	5293	PIK3CD	1	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	protein_coding
ENSG00000231789	NA	PIK3CD-AS2	1	PIK3CD antisense RNA 2	lncRNA
ENSG00000171603	22883	CLSTN1	1	calsyntenin 1	protein_coding
ENSG00000178585	56998	CTNNBIP1	1	catenin beta interacting protein 1	protein_coding
ENSG00000162441	84328	LZIC	1	leucine zipper and CTNNBIP1 domain containing	protein_coding
ENSG00000173614	64802	NMNAT1	1	nicotinamide nucleotide adenylyltransferase 1	protein_coding
ENSG00000162444	116362	RBP7	1	retinol binding protein 7	protein_coding
ENSG00000130939	10277	UBE4B	1	ubiquitination factor E4B	protein_coding
ENSG00000054523	23095	KIF1B	1	kinesin family member 1B	protein_coding
ENSG00000142657	5226	PGD	1	phosphogluconate dehydrogenase	protein_coding
ENSG00000251503	100526739	CENPS-CORT	1	CENPS-CORT readthrough	protein_coding
ENSG00000175279	378708	CENPS	1	centromere protein S	protein_coding
ENSG00000241563	1325	CORT	1	cortistatin	protein_coding
ENSG00000160049	1676	DFFA	1	DNA fragmentation factor subunit alpha	protein_coding
ENSG00000142655	5195	PEX14	1	peroxisomal biogenesis factor 14	protein_coding
ENSG00000130940	54897	CASZ1	1	castor zinc finger 1	protein_coding
ENSG00000120948	23435	TARDBP	1	TAR DNA binding protein	protein_coding
ENSG00000116649	6723	SRM	1	spermidine synthase	protein_coding
ENSG00000171824	5394	EXOSC10	1	exosome component 10	protein_coding
ENSG00000198793	2475	MTOR	1	mechanistic target of rapamycin kinase	protein_coding
ENSG00000120942	29914	UBIAD1	1	UbiA prenyltransferase domain containing 1	protein_coding
ENSG00000132879	93611	FBXO44	1	F-box protein 44	protein_coding
ENSG00000116663	26270	FBXO6	1	F-box protein 6	protein_coding
ENSG00000116670	10459	MAD2L2	1	mitotic arrest deficient 2 like 2	protein_coding
ENSG00000162490	374946	DRAXIN	1	dorsal inhibitory axon guidance protein	protein_coding
ENSG00000177674	57085	AGTRAP	1	angiotensin II receptor associated protein	protein_coding
ENSG00000177000	4524	MTHFR	1	methylenetetrahydrofolate reductase	protein_coding
ENSG00000011021	1185	CLCN6	1	chloride voltage-gated channel 6	protein_coding
ENSG00000116685	90231	KIAA2013	1	KIAA2013	protein_coding
ENSG00000083444	5351	PLOD1	1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	protein_coding
ENSG00000116688	9927	MFN2	1	mitofusin 2	protein_coding
ENSG00000116691	60672	MIIP	1	migration and invasion inhibitory protein	protein_coding
ENSG00000028137	7133	TNFRSF1B	1	TNF receptor superfamily member 1B	protein_coding
ENSG00000048707	55187	VPS13D	1	vacuolar protein sorting 13 homolog D	protein_coding
ENSG00000162496	9249	DHRS3	1	dehydrogenase/reductase 3	protein_coding
ENSG00000162494	126755	LRRC38	1	leucine rich repeat containing 38	protein_coding
ENSG00000162493	10630	PDPN	1	podoplanin	protein_coding
ENSG00000116731	7799	PRDM2	1	PR/SET domain 2	protein_coding
ENSG00000189337	23254	KAZN	1	kazrin, periplakin interacting protein	protein_coding
ENSG00000171729	55092	TMEM51	1	transmembrane protein 51	protein_coding
ENSG00000142634	79180	EFHD2	1	EF-hand domain family member D2	protein_coding
ENSG00000132906	842	CASP9	1	caspase 9	protein_coding
ENSG00000116138	23341	DNAJC16	1	DnaJ heat shock protein family (Hsp40) member C16	protein_coding
ENSG00000116771	79814	AGMAT	1	agmatinase	protein_coding
ENSG00000197312	84301	DDI2	1	DNA damage inducible 1 homolog 2	protein_coding
ENSG00000116786	23207	PLEKHM2	1	pleckstrin homology and RUN domain containing M2	protein_coding
ENSG00000162458	54751	FBLIM1	1	filamin binding LIM protein 1	protein_coding
ENSG00000233954	440567	UQCRHL	1	ubiquinol-cytochrome c reductase hinge protein like	protein_coding
ENSG00000065526	23013	SPEN	1	spen family transcriptional repressor	protein_coding
ENSG00000116809	7709	ZBTB17	1	zinc finger and BTB domain containing 17	protein_coding
ENSG00000185519	348487	FAM131C	1	family with sequence similarity 131 member C	protein_coding
ENSG00000142627	1969	EPHA2	1	EPH receptor A2	protein_coding
ENSG00000142632	128272	ARHGEF19	1	Rho guanine nucleotide exchange factor 19	protein_coding
ENSG00000132881	79363	CPLANE2	1	ciliogenesis and planar polarity effector 2	protein_coding
ENSG00000037637	54455	FBXO42	1	F-box protein 42	protein_coding
ENSG00000055070	26099	SZRD1	1	SUZ RNA binding domain containing 1	protein_coding
ENSG00000157191	55707	NECAP2	1	NECAP endocytosis associated 2	protein_coding
ENSG00000219481	55672	NBPF1	1	NBPF member 1	protein_coding
ENSG00000058453	9696	CROCC	1	ciliary rootlet coiled-coil, rootletin	protein_coding
ENSG00000117122	4237	MFAP2	1	microfibril associated protein 2	protein_coding
ENSG00000159363	23400	ATP13A2	1	ATPase cation transporting 13A2	protein_coding
ENSG00000117118	6390	SDHB	1	succinate dehydrogenase complex iron sulfur subunit B	protein_coding
ENSG00000179051	55920	RCC2	1	regulator of chromosome condensation 2	protein_coding
ENSG00000159423	8659	ALDH4A1	1	aldehyde dehydrogenase 4 family member A1	protein_coding
ENSG00000169991	126917	IFFO2	1	intermediate filament family orphan 2	protein_coding
ENSG00000127481	23352	UBR4	1	ubiquitin protein ligase E3 component n-recognin 4	protein_coding
ENSG00000127463	23065	EMC1	1	ER membrane protein complex subunit 1	protein_coding
ENSG00000053372	51154	MRTO4	1	MRT4 homolog, ribosome maturation factor	protein_coding
ENSG00000053371	8574	AKR7A2	1	aldo-keto reductase family 7 member A2	protein_coding
ENSG00000040487	54896	SLC66A1	1	solute carrier family 66 member 1	protein_coding
ENSG00000077549	832	CAPZB	1	capping actin protein of muscle Z-line subunit beta	protein_coding
ENSG00000173436	440574	MICOS10	1	mitochondrial contact site and cristae organizing system subunit 10	protein_coding
ENSG00000158747	4681	NBL1	1	NBL1, DAN family BMP antagonist	protein_coding
ENSG00000162542	255104	TMCO4	1	transmembrane and coiled-coil domains 4	protein_coding
ENSG00000169914	23252	OTUD3	1	OTU deubiquitinase 3	protein_coding
ENSG00000162545	55450	CAMK2N1	1	calcium/calmodulin dependent protein kinase II inhibitor 1	protein_coding
ENSG00000090432	79594	MUL1	1	mitochondrial E3 ubiquitin protein ligase 1	protein_coding
ENSG00000158825	978	CDA	1	cytidine deaminase	protein_coding
ENSG00000158828	65018	PINK1	1	PTEN induced kinase 1	protein_coding
ENSG00000244038	1650	DDOST	1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	protein_coding
ENSG00000117245	57576	KIF17	1	kinesin family member 17	protein_coding
ENSG00000189410	400745	SH2D5	1	SH2 domain containing 5	protein_coding
ENSG00000127483	50809	HP1BP3	1	heterochromatin protein 1 binding protein 3	protein_coding
ENSG00000075151	8672	EIF4G3	1	eukaryotic translation initiation factor 4 gamma 3	protein_coding
ENSG00000117298	1889	ECE1	1	endothelin converting enzyme 1	protein_coding
ENSG00000142794	84224	NBPF3	1	NBPF member 3	protein_coding
ENSG00000090686	84196	USP48	1	ubiquitin specific peptidase 48	protein_coding
ENSG00000187942	401944	LDLRAD2	1	low density lipoprotein receptor class A domain containing 2	protein_coding
ENSG00000142798	3339	HSPG2	1	heparan sulfate proteoglycan 2	protein_coding
ENSG00000070831	998	CDC42	1	cell division cycle 42	protein_coding
ENSG00000162552	54361	WNT4	1	Wnt family member 4	protein_coding
ENSG00000184677	9923	ZBTB40	1	zinc finger and BTB domain containing 40	protein_coding
ENSG00000133216	2048	EPHB2	1	EPH receptor B2	protein_coding
ENSG00000004487	23028	KDM1A	1	lysine demethylase 1A	protein_coding
ENSG00000169641	7798	LUZP1	1	leucine zipper protein 1	protein_coding
ENSG00000179546	3352	HTR1D	1	5-hydroxytryptamine receptor 1D	protein_coding
ENSG00000261326	NA	LINC01355	1	long intergenic non-protein coding RNA 1355	lncRNA
ENSG00000125944	10236	HNRNPR	1	heterogeneous nuclear ribonucleoprotein R	protein_coding
ENSG00000125945	80818	ZNF436	1	zinc finger protein 436	protein_coding
ENSG00000249087	NA	ZNF436-AS1	1	ZNF436 antisense RNA 1	lncRNA
ENSG00000204219	6920	TCEA3	1	transcription elongation factor A3	protein_coding
ENSG00000088280	55616	ASAP3	1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	protein_coding
ENSG00000007968	1870	E2F2	1	E2F transcription factor 2	protein_coding
ENSG00000117318	3399	ID3	1	inhibitor of DNA binding 3, HLH protein	protein_coding
ENSG00000142676	6135	RPL11	1	ribosomal protein L11	protein_coding
ENSG00000011007	6924	ELOA	1	elongin A	protein_coding
ENSG00000236810	NA	ELOA-AS1	1	ELOA antisense RNA 1	lncRNA
ENSG00000057757	57095	PITHD1	1	PITH domain containing 1	protein_coding
ENSG00000011009	11313	LYPLA2	1	lysophospholipase 2	protein_coding
ENSG00000117308	2582	GALE	1	UDP-galactose-4-epimerase	protein_coding
ENSG00000117305	3155	HMGCL	1	3-hydroxy-3-methylglutaryl-CoA lyase	protein_coding
ENSG00000179163	2517	FUCA1	1	alpha-L-fucosidase 1	protein_coding
ENSG00000189266	55629	PNRC2	1	proline rich nuclear receptor coactivator 2	protein_coding
ENSG00000188529	10772	SRSF10	1	serine and arginine rich splicing factor 10	protein_coding
ENSG00000001460	90529	STPG1	1	sperm tail PG-rich repeat containing 1	protein_coding
ENSG00000001461	57185	NIPAL3	1	NIPA like domain containing 3	protein_coding
ENSG00000117602	11123	RCAN3	1	RCAN family member 3	protein_coding
ENSG00000264443	NA	NCMAP-DT	1	NCMAP divergent transcript	lncRNA
ENSG00000133226	10250	SRRM1	1	serine and arginine repetitive matrix 1	protein_coding
ENSG00000169504	25932	CLIC4	1	chloride intracellular channel 4	protein_coding
ENSG00000117614	25949	SYF2	1	SYF2 pre-mRNA splicing factor	protein_coding
ENSG00000117616	57035	RSRP1	1	arginine and serine rich protein 1	protein_coding
ENSG00000183726	23585	TMEM50A	1	transmembrane protein 50A	protein_coding
ENSG00000204178	55219	MACO1	1	macoilin 1	protein_coding
ENSG00000157978	26119	LDLRAP1	1	low density lipoprotein receptor adaptor protein 1	protein_coding
ENSG00000162430	57190	SELENON	1	selenoprotein N	protein_coding
ENSG00000117640	56181	MTFR1L	1	mitochondrial fission regulator 1 like	protein_coding
ENSG00000127423	79000	AUNIP	1	aurora kinase A and ninein interacting protein	protein_coding
ENSG00000182749	164091	PAQR7	1	progestin and adipoQ receptor family member 7	protein_coding
ENSG00000117632	3925	STMN1	1	stathmin 1	protein_coding
ENSG00000158006	5051	PAFAH2	1	platelet activating factor acetylhydrolase 2	protein_coding
ENSG00000175087	149420	PDIK1L	1	PDLIM1 interacting kinase 1 like	protein_coding
ENSG00000197245	79927	FAM110D	1	family with sequence similarity 110 member D	protein_coding
ENSG00000142684	51042	ZNF593	1	zinc finger protein 593	protein_coding
ENSG00000130695	64793	CEP85	1	centrosomal protein 85	protein_coding
ENSG00000142669	83442	SH3BGRL3	1	SH3 domain binding glutamate rich protein like 3	protein_coding
ENSG00000158062	91544	UBXN11	1	UBX domain protein 11	protein_coding
ENSG00000117682	79947	DHDDS	1	dehydrodolichyl diphosphate synthase subunit	protein_coding
ENSG00000198830	3151	HMGN2	1	high mobility group nucleosomal binding domain 2	protein_coding
ENSG00000117676	6195	RPS6KA1	1	ribosomal protein S6 kinase A1	protein_coding
ENSG00000117713	8289	ARID1A	1	AT-rich interaction domain 1A	protein_coding
ENSG00000060642	55650	PIGV	1	phosphatidylinositol glycan anchor biosynthesis class V	protein_coding
ENSG00000204160	84243	ZDHHC18	1	zinc finger DHHC-type containing 18	protein_coding
ENSG00000142751	54707	GPN2	1	GPN-loop GTPase 2	protein_coding
ENSG00000198746	63906	GPATCH3	1	G-patch domain containing 3	protein_coding
ENSG00000090273	10726	NUDC	1	nuclear distribution C, dynein complex regulator	protein_coding
ENSG00000253368	388610	TRNP1	1	TMF1 regulated nuclear protein 1	protein_coding
ENSG00000158246	115572	TENT5B	1	terminal nucleotidyltransferase 5B	protein_coding
ENSG00000090020	6548	SLC9A1	1	solute carrier family 9 member A1	protein_coding
ENSG00000142784	23038	WDTC1	1	WD and tetratricopeptide repeats 1	protein_coding
ENSG00000186501	84065	TMEM222	1	transmembrane protein 222	protein_coding
ENSG00000142733	9064	MAP3K6	1	mitogen-activated protein kinase kinase kinase 6	protein_coding
ENSG00000181773	2827	GPR3	1	G protein-coupled receptor 3	protein_coding
ENSG00000158195	10163	WASF2	1	WASP family member 2	protein_coding
ENSG00000126705	27245	AHDC1	1	AT-hook DNA binding motif containing 1	protein_coding
ENSG00000126709	2537	IFI6	1	interferon alpha inducible protein 6	protein_coding
ENSG00000009780	199870	FAM76A	1	family with sequence similarity 76 member A	protein_coding
ENSG00000117758	23673	STX12	1	syntaxin 12	protein_coding
ENSG00000117751	5511	PPP1R8	1	protein phosphatase 1 regulatory subunit 8	protein_coding
ENSG00000130775	9473	THEMIS2	1	thymocyte selection associated family member 2	protein_coding
ENSG00000117748	6118	RPA2	1	replication protein A2	protein_coding
ENSG00000130768	27293	SMPDL3B	1	sphingomyelin phosphodiesterase acid like 3B	protein_coding
ENSG00000158156	55113	XKR8	1	XK related 8	protein_coding
ENSG00000158161	2140	EYA3	1	EYA transcriptional coactivator and phosphatase 3	protein_coding
ENSG00000126698	22826	DNAJC8	1	DnaJ heat shock protein family (Hsp40) member C8	protein_coding
ENSG00000130770	93974	ATP5IF1	1	ATP synthase inhibitory factor subunit 1	protein_coding
ENSG00000130766	83667	SESN2	1	sestrin 2	protein_coding
ENSG00000130772	54797	MED18	1	mediator complex subunit 18	protein_coding
ENSG00000204138	65979	PHACTR4	1	phosphatase and actin regulator 4	protein_coding
ENSG00000180198	1104	RCC1	1	regulator of chromosome condensation 1	protein_coding
ENSG00000180098	54952	TRNAU1AP	1	tRNA selenocysteine 1 associated protein 1	protein_coding
ENSG00000197989	85028	SNHG12	1	small nucleolar RNA host gene 12	lncRNA
ENSG00000120656	6883	TAF12	1	TATA-box binding protein associated factor 12	protein_coding
ENSG00000188060	115273	RAB42	1	RAB42, member RAS oncogene family	protein_coding
ENSG00000162419	10691	GMEB1	1	glucocorticoid modulatory element binding protein 1	protein_coding
ENSG00000198492	51441	YTHDF2	1	YTH N6-methyladenosine RNA binding protein 2	protein_coding
ENSG00000159023	2035	EPB41	1	erythrocyte membrane protein band 4.1	protein_coding
ENSG00000253304	399474	TMEM200B	1	transmembrane protein 200B	protein_coding
ENSG00000116350	6429	SRSF4	1	serine and arginine rich splicing factor 4	protein_coding
ENSG00000116353	51102	MECR	1	mitochondrial trans-2-enoyl-CoA reductase	protein_coding
ENSG00000162511	7805	LAPTM5	1	lysosomal protein transmembrane 5	protein_coding
ENSG00000162512	9672	SDC3	1	syndecan 3	protein_coding
ENSG00000134644	9698	PUM1	1	pumilio RNA binding family member 1	protein_coding
ENSG00000060688	9410	SNRNP40	1	small nuclear ribonucleoprotein U5 subunit 40	protein_coding
ENSG00000121766	51538	ZCCHC17	1	zinc finger CCHC-type containing 17	protein_coding
ENSG00000168528	347735	SERINC2	1	serine incorporator 2	protein_coding
ENSG00000142910	64129	TINAGL1	1	tubulointerstitial nephritis antigen like 1	protein_coding
ENSG00000162517	553115	PEF1	1	penta-EF-hand domain containing 1	protein_coding
ENSG00000084636	1307	COL16A1	1	collagen type XVI alpha 1 chain	protein_coding
ENSG00000121753	576	ADGRB2	1	adhesion G protein-coupled receptor B2	protein_coding
ENSG00000134668	90853	SPOCD1	1	SPOC domain containing 1	protein_coding
ENSG00000184007	8073	PTP4A2	1	protein tyrosine phosphatase 4A2	protein_coding
ENSG00000121774	10657	KHDRBS1	1	KH RNA binding domain containing, signal transduction associated 1	protein_coding
ENSG00000121775	55116	TMEM39B	1	transmembrane protein 39B	protein_coding
ENSG00000025800	23633	KPNA6	1	karyopherin subunit alpha 6	protein_coding
ENSG00000084652	200081	TXLNA	1	taxilin alpha	protein_coding
ENSG00000160050	79140	CCDC28B	1	coiled-coil domain containing 28B	protein_coding
ENSG00000160051	55721	IQCC	1	IQ motif containing C	protein_coding
ENSG00000160055	56063	TMEM234	1	transmembrane protein 234	protein_coding
ENSG00000084623	8668	EIF3I	1	eukaryotic translation initiation factor 3 subunit I	protein_coding
ENSG00000183615	84734	FAM167B	1	family with sequence similarity 167 member B	protein_coding
ENSG00000116478	3065	HDAC1	1	histone deacetylase 1	protein_coding
ENSG00000175130	65108	MARCKSL1	1	MARCKS like 1	protein_coding
ENSG00000225828	100128071	FAM229A	1	family with sequence similarity 229 member A	protein_coding
ENSG00000160058	55108	BSDC1	1	BSD domain containing 1	protein_coding
ENSG00000160062	653121	ZBTB8A	1	zinc finger and BTB domain containing 8A	protein_coding
ENSG00000176261	339487	ZBTB8OS	1	zinc finger and BTB domain containing 8 opposite strand	protein_coding
ENSG00000162521	5928	RBBP4	1	RB binding protein 4, chromatin remodeling factor	protein_coding
ENSG00000162520	81493	SYNC	1	syncoilin, intermediate filament protein	protein_coding
ENSG00000162522	57648	KIAA1522	1	KIAA1522	protein_coding
ENSG00000134684	8565	YARS	1	tyrosyl-tRNA synthetase	protein_coding
ENSG00000116497	64766	S100PBP	1	S100P binding protein	protein_coding
ENSG00000121900	113452	TMEM54	1	transmembrane protein 54	protein_coding
ENSG00000116514	127544	RNF19B	1	ring finger protein 19B	protein_coding
ENSG00000004455	204	AK2	1	adenylate kinase 2	protein_coding
ENSG00000116525	55223	TRIM62	1	tripartite motif containing 62	protein_coding
ENSG00000160094	149076	ZNF362	1	zinc finger protein 362	protein_coding
ENSG00000134686	1912	PHC2	1	polyhomeotic homolog 2	protein_coding
ENSG00000121903	7579	ZSCAN20	1	zinc finger and SCAN domain containing 20	protein_coding
ENSG00000163866	113444	SMIM12	1	small integral membrane protein 12	protein_coding
ENSG00000163867	9204	ZMYM6	1	zinc finger MYM-type containing 6	protein_coding
ENSG00000197056	79830	ZMYM1	1	zinc finger MYM-type containing 1	protein_coding
ENSG00000116560	6421	SFPQ	1	splicing factor proline and glutamine rich	protein_coding
ENSG00000146463	9202	ZMYM4	1	zinc finger MYM-type containing 4	protein_coding
ENSG00000142687	79932	KIAA0319L	1	KIAA0319 like	protein_coding
ENSG00000020129	23154	NCDN	1	neurochondrin	protein_coding
ENSG00000126067	5690	PSMB2	1	proteasome subunit beta 2	protein_coding
ENSG00000142686	127703	C1orf216	1	chromosome 1 open reading frame 216	protein_coding
ENSG00000092853	63967	CLSPN	1	claspin	protein_coding
ENSG00000134698	192670	AGO4	1	argonaute RISC component 4	protein_coding
ENSG00000092847	26523	AGO1	1	argonaute RISC component 1	protein_coding
ENSG00000126070	192669	AGO3	1	argonaute RISC catalytic component 3	protein_coding
ENSG00000116863	54936	ADPRHL2	1	ADP-ribosylhydrolase like 2	protein_coding
ENSG00000054116	27095	TRAPPC3	1	trafficking protein particle complex 3	protein_coding
ENSG00000116871	55700	MAP7D1	1	MAP7 domain containing 1	protein_coding
ENSG00000054118	9967	THRAP3	1	thyroid hormone receptor associated protein 3	protein_coding
ENSG00000142694	55194	EVA1B	1	eva-1 homolog B	protein_coding
ENSG00000196182	83931	STK40	1	serine/threonine kinase 40	protein_coding
ENSG00000181817	84967	LSM10	1	LSM10, U7 small nuclear RNA associated	protein_coding
ENSG00000116885	127700	OSCP1	1	organic solute carrier partner 1	protein_coding
ENSG00000116898	64960	MRPS15	1	mitochondrial ribosomal protein S15	protein_coding
ENSG00000163874	80149	ZC3H12A	1	zinc finger CCCH-type containing 12A	protein_coding
ENSG00000163875	64769	MEAF6	1	MYST/Esa1 associated factor 6	protein_coding
ENSG00000163877	79753	SNIP1	1	Smad nuclear interacting protein 1	protein_coding
ENSG00000163879	7802	DNALI1	1	dynein axonemal light intermediate chain 1	protein_coding
ENSG00000134697	29889	GNL2	1	G protein nucleolar 2	protein_coding
ENSG00000116922	54955	C1orf109	1	chromosome 1 open reading frame 109	protein_coding
ENSG00000134690	55143	CDCA8	1	cell division cycle associated 8	protein_coding
ENSG00000185090	149175	MANEAL	1	mannosidase endo-alpha like	protein_coding
ENSG00000196449	79693	YRDC	1	yrdC N6-threonylcarbamoyltransferase domain containing	protein_coding
ENSG00000197982	127687	C1orf122	1	chromosome 1 open reading frame 122	protein_coding
ENSG00000188786	4520	MTF1	1	metal regulatory transcription factor 1	protein_coding
ENSG00000204084	3633	INPP5B	1	inositol polyphosphate-5-phosphatase B	protein_coding
ENSG00000183431	10946	SF3A3	1	splicing factor 3a subunit 3	protein_coding
ENSG00000183386	2275	FHL3	1	four and a half LIM domains 3	protein_coding
ENSG00000183520	51118	UTP11	1	UTP11 small subunit processome component	protein_coding
ENSG00000116954	64121	RRAGC	1	Ras related GTP binding C	protein_coding
ENSG00000214114	26292	MYCBP	1	MYC binding protein	protein_coding
ENSG00000174574	79647	AKIRIN1	1	akirin 1	protein_coding
